location_id,location_name,repA,repA_exdis,repB,repB_exdis,gbd_val,gbd_lo,gbd_hi
6,China,564193.685922228,564681.471246814,591995.356757654,592454.787907457,497513.691514038,423225.677283711,570884.079497071
11,Indonesia,7282.15006344839,7391.09668738232,11277.7679292215,11371.9474908132,11204.5175690361,8375.92612391181,15076.6670230413
13,Malaysia,731.732458246655,731.690795196696,1263.66344252645,1263.64251254647,1356.42292686536,871.278960322272,1980.17945527789
81,Germany,33988.9212823126,33989.9208721529,35776.7661825707,35777.6992528941,33395.1016978874,28595.3439356491,38007.2941927513
102,United States,109209.133826795,109259.33148019,114941.243424947,114987.122417383,111168.721165109,98922.0052245726,120217.971489507
114,Haiti,206.637585077964,254.928994469423,322.027162367684,390.172600520466,415.949245842938,306.028724418978,562.093575463429
125,Colombia,4731.61625760285,4750.86485394666,5201.70468269486,5219.79258123274,4985.67244373445,3796.49841039508,6360.2223760189
131,Nicaragua,229.879086574212,231.065192475136,278.620926775083,279.272042906556,275.094555917249,210.558155358463,344.846019147452
135,Brazil,14895.0342379805,14908.9952332639,17243.2255087232,17256.3896670999,16701.1589204944,14859.4271097131,18521.9619606987
145,Kuwait,441.730616170925,441.728914364056,449.512273517806,449.51082772776,420.884841232341,299.183200394074,550.015353063445
163,India,232745.494516795,232783.540098994,247366.821466365,247400.615173107,227827.810462993,180572.297715989,279856.551164616
171,Democratic Republic of the Congo,1811.38824202129,1811.30716075384,2608.80678923398,2608.96042308333,2321.58069822548,1758.25596997959,3064.14511273142
190,Uganda,403.311403984587,404.644200093067,634.123858525993,635.396220653703,935.565889539195,732.721957736449,1212.92391873887
213,Niger,3281.98718281077,3281.84515751378,3855.13709793412,3855.32207009541,3360.33418962382,1481.20356480466,5533.98319767739
214,Nigeria,11474.858354276,11474.025005033,15551.8647976965,15551.4887433731,12933.0128379921,8929.93743575647,18277.7783475705
