year_id,age_group_id,sex_id,ex,location_id
1990,0,1,73.9562,94
1990,0,2,80.7129,94
1990,5,1,69.6509,94
1990,5,2,76.3273,94
1990,10,1,64.7162,94
1990,10,2,71.386,94
1990,15,1,59.7783,94
1990,15,2,66.4404,94
1990,20,1,55.0541,94
1990,20,2,61.5478,94
1990,25,1,50.4589,94
1990,25,2,56.6734,94
1990,30,1,45.8545,94
1990,30,2,51.8167,94
1990,35,1,41.2068,94
1990,35,2,46.9688,94
1990,40,1,36.5283,94
1990,40,2,42.148,94
1990,45,1,31.9061,94
1990,45,2,37.3828,94
1990,50,1,27.382,94
1990,50,2,32.737,94
1990,55,1,23.0421,94
1990,55,2,28.1727,94
1990,60,1,18.9712,94
1990,60,2,23.6941,94
1990,65,1,15.271,94
1990,65,2,19.4227,94
1990,70,1,11.967,94
1990,70,2,15.343,94
1990,75,1,9.0222,94
1990,75,2,11.6314,94
1990,80,1,6.5564,94
1990,80,2,8.3709,94
1991,0,1,74.1088,94
1991,0,2,81.096,94
1991,5,1,69.7553,94
1991,5,2,76.6656,94
1991,10,1,64.8495,94
1991,10,2,71.7267,94
1991,15,1,59.9335,94
1991,15,2,66.7716,94
1991,20,1,55.1767,94
1991,20,2,61.8872,94
1991,25,1,50.6351,94
1991,25,2,57.0358,94
1991,30,1,46.0404,94
1991,30,2,52.1775,94
1991,35,1,41.4268,94
1991,35,2,47.3522,94
1991,40,1,36.73,94
1991,40,2,42.5136,94
1991,45,1,32.1674,94
1991,45,2,37.7653,94
1991,50,1,27.6909,94
1991,50,2,33.0691,94
1991,55,1,23.3525,94
1991,55,2,28.511,94
1991,60,1,19.298,94
1991,60,2,24.0609,94
1991,65,1,15.5462,94
1991,65,2,19.7519,94
1991,70,1,12.2115,94
1991,70,2,15.6961,94
1991,75,1,9.2813,94
1991,75,2,11.9417,94
1991,80,1,6.7433,94
1991,80,2,8.6277,94
1992,0,1,74.4503,94
1992,0,2,81.3254,94
1992,5,1,70.1109,94
1992,5,2,76.8534,94
1992,10,1,65.1768,94
1992,10,2,71.9081,94
1992,15,1,60.248,94
1992,15,2,66.9664,94
1992,20,1,55.4593,94
1992,20,2,62.0743,94
1992,25,1,50.8983,94
1992,25,2,57.2125,94
1992,30,1,46.2804,94
1992,30,2,52.3576,94
1992,35,1,41.6637,94
1992,35,2,47.5143,94
1992,40,1,37.0157,94
1992,40,2,42.6927,94
1992,45,1,32.419,94
1992,45,2,37.9113,94
1992,50,1,27.9002,94
1992,50,2,33.2466,94
1992,55,1,23.5583,94
1992,55,2,28.6914,94
1992,60,1,19.4978,94
1992,60,2,24.22,94
1992,65,1,15.7402,94
1992,65,2,19.9147,94
1992,70,1,12.3822,94
1992,70,2,15.8461,94
1992,75,1,9.4679,94
1992,75,2,12.078,94
1992,80,1,6.9291,94
1992,80,2,8.706,94
1993,0,1,74.9043,94
1993,0,2,81.4159,94
1993,5,1,70.4216,94
1993,5,2,76.9748,94
1993,10,1,65.5185,94
1993,10,2,72.0354,94
1993,15,1,60.5753,94
1993,15,2,67.0854,94
1993,20,1,55.7798,94
1993,20,2,62.1804,94
1993,25,1,51.192,94
1993,25,2,57.3006,94
1993,30,1,46.5526,94
1993,30,2,52.4635,94
1993,35,1,41.9345,94
1993,35,2,47.6346,94
1993,40,1,37.2527,94
1993,40,2,42.8262,94
1993,45,1,32.638,94
1993,45,2,38.0414,94
1993,50,1,28.1293,94
1993,50,2,33.3716,94
1993,55,1,23.7709,94
1993,55,2,28.7974,94
1993,60,1,19.6186,94
1993,60,2,24.3319,94
1993,65,1,15.8091,94
1993,65,2,20.0293,94
1993,70,1,12.4558,94
1993,70,2,15.942,94
1993,75,1,9.461,94
1993,75,2,12.176,94
1993,80,1,6.9815,94
1993,80,2,8.7713,94
1994,0,1,75.137,94
1994,0,2,81.6953,94
1994,5,1,70.693,94
1994,5,2,77.1596,94
1994,10,1,65.7721,94
1994,10,2,72.1946,94
1994,15,1,60.8552,94
1994,15,2,67.2515,94
1994,20,1,56.0354,94
1994,20,2,62.3529,94
