year_id,age_group_id,sex_id,ex,location_id
1990,0,1,51.9699,114
1990,0,2,54.4213,114
1990,5,1,56.2046,114
1990,5,2,57.8106,114
1990,10,1,52.0971,114
1990,10,2,53.8034,114
1990,15,1,47.701,114
1990,15,2,49.5019,114
1990,20,1,43.525,114
1990,20,2,45.4272,114
1990,25,1,39.6014,114
1990,25,2,41.532,114
1990,30,1,35.6591,114
1990,30,2,37.6724,114
1990,35,1,31.7385,114
1990,35,2,33.8399,114
1990,40,1,27.8936,114
1990,40,2,30.0152,114
1990,45,1,24.1699,114
1990,45,2,26.1915,114
1990,50,1,20.5731,114
1990,50,2,22.3976,114
1990,55,1,17.1956,114
1990,55,2,18.7791,114
1990,60,1,14.044,114
1990,60,2,15.337,114
1990,65,1,11.2217,114
1990,65,2,12.236,114
1990,70,1,8.7169,114
1990,70,2,9.4539,114
1990,75,1,6.5838,114
1990,75,2,7.1221,114
1990,80,1,4.8789,114
1990,80,2,5.252,114
1991,0,1,52.2001,114
1991,0,2,54.8158,114
1991,5,1,56.165,114
1991,5,2,57.9804,114
1991,10,1,52.0446,114
1991,10,2,53.9575,114
1991,15,1,47.6422,114
1991,15,2,49.6442,114
1991,20,1,43.4712,114
1991,20,2,45.5561,114
1991,25,1,39.5702,114
1991,25,2,41.6458,114
1991,30,1,35.648,114
1991,30,2,37.7712,114
1991,35,1,31.7403,114
1991,35,2,33.9239,114
1991,40,1,27.9024,114
1991,40,2,30.0861,114
1991,45,1,24.1816,114
1991,45,2,26.2521,114
1991,50,1,20.5862,114
1991,50,2,22.4503,114
1991,55,1,17.2079,114
1991,55,2,18.8236,114
1991,60,1,14.0559,114
1991,60,2,15.3739,114
1991,65,1,11.2317,114
1991,65,2,12.2641,114
1991,70,1,8.7251,114
1991,70,2,9.4745,114
1991,75,1,6.5901,114
1991,75,2,7.136,114
1991,80,1,4.8821,114
1991,80,2,5.2601,114
1992,0,1,52.7654,114
1992,0,2,55.2788,114
1992,5,1,56.5107,114
1992,5,2,58.2236,114
1992,10,1,52.3778,114
1992,10,2,54.1797,114
1992,15,1,47.9681,114
1992,15,2,49.8515,114
1992,20,1,43.7753,114
1992,20,2,45.7452,114
1992,25,1,39.8297,114
1992,25,2,41.8138,114
1992,30,1,35.8644,114
1992,30,2,37.9181,114
1992,35,1,31.9198,114
1992,35,2,34.05,114
1992,40,1,28.0505,114
1992,40,2,30.1928,114
1992,45,1,24.3029,114
1992,45,2,26.3417,114
1992,50,1,20.6849,114
1992,50,2,22.5264,114
1992,55,1,17.2875,114
1992,55,2,18.8868,114
1992,60,1,14.1194,114
1992,60,2,15.4253,114
1992,65,1,11.2813,114
1992,65,2,12.3031,114
1992,70,1,8.7628,114
1992,70,2,9.503,114
1992,75,1,6.6181,114
1992,75,2,7.1551,114
1992,80,1,4.9024,114
1992,80,2,5.2715,114
1993,0,1,53.1657,114
1993,0,2,55.7514,114
1993,5,1,56.6752,114
1993,5,2,58.4824,114
1993,10,1,52.5275,114
1993,10,2,54.4153,114
1993,15,1,48.1093,114
1993,15,2,50.0708,114
1993,20,1,43.907,114
1993,20,2,45.9442,114
1993,25,1,39.9494,114
1993,25,2,41.9893,114
1993,30,1,35.971,114
1993,30,2,38.0704,114
1993,35,1,32.0122,114
1993,35,2,34.1793,114
1993,40,1,28.1284,114
1993,40,2,30.3011,114
1993,45,1,24.3663,114
1993,45,2,26.4325,114
1993,50,1,20.736,114
1993,50,2,22.6037,114
1993,55,1,17.3272,114
1993,55,2,18.9507,114
1993,60,1,14.1503,114
1993,60,2,15.4771,114
1993,65,1,11.3039,114
1993,65,2,12.3414,114
1993,70,1,8.7787,114
1993,70,2,9.5304,114
1993,75,1,6.6287,114
1993,75,2,7.1726,114
1993,80,1,4.9079,114
1993,80,2,5.2808,114
1994,0,1,53.459,114
1994,0,2,55.9634,114
1994,5,1,56.8007,114
1994,5,2,58.5413,114
1994,10,1,52.6853,114
1994,10,2,54.501,114
1994,15,1,48.2808,114
1994,15,2,50.1652,114
1994,20,1,44.0763,114
1994,20,2,46.0292,114
1994,25,1,40.1053,114
1994,25,2,42.0583,114
1994,30,1,36.1106,114
1994,30,2,38.1254,114
1994,35,1,32.1347,114
1994,35,2,34.2228,114
1994,40,1,28.2336,114
1994,40,2,30.3366,114
1994,45,1,24.4548,114
1994,45,2,26.4636,114
1994,50,1,20.81,114
1994,50,2,22.634,114
1994,55,1,17.3878,114
1994,55,2,18.9788,114
1994,60,1,14.2006,114
1994,60,2,15.5034,114
1994,65,1,11.3443,114
1994,65,2,12.3624,114
1994,70,1,8.8108,114
1994,70,2,9.5473,114
1994,75,1,6.6535,114
1994,75,2,7.1848,114
1994,80,1,4.924,114
1994,80,2,5.2846,114
1995,0,1,54.1896,114
1995,0,2,56.9403,114
1995,5,1,57.2333,114
1995,5,2,59.2452,114
1995,10,1,53.0424,114
1995,10,2,55.113,114
1995,15,1,48.5977,114
1995,15,2,50.7244,114
1995,20,1,44.3633,114
1995,20,2,46.5431,114
1995,25,1,40.363,114
1995,25,2,42.525,114
1995,30,1,36.3397,114
1995,30,2,38.5429,114
1995,35,1,32.3346,114
1995,35,2,34.5894,114
1995,40,1,28.4038,114
1995,40,2,30.6536,114
1995,45,1,24.5958,114
1995,45,2,26.7355,114
1995,50,1,20.9254,114
1995,50,2,22.867,114
1995,55,1,17.4793,114
1995,55,2,19.1743,114
1995,60,1,14.2722,114
1995,60,2,15.6637,114
1995,65,1,11.3971,114
1995,65,2,12.4871,114
