year_id,age_group_id,sex_id,ex,location_id
1990,0,1,70.7961,105
1990,0,2,76.338,105
1990,5,1,66.846,105
1990,5,2,72.2874,105
1990,10,1,61.9513,105
1990,10,2,67.3803,105
1990,15,1,57.0494,105
1990,15,2,62.463,105
1990,20,1,52.3108,105
1990,20,2,57.612,105
1990,25,1,47.6637,105
1990,25,2,52.7802,105
1990,30,1,42.9913,105
1990,30,2,47.9586,105
1990,35,1,38.3293,105
1990,35,2,43.1702,105
1990,40,1,33.7288,105
1990,40,2,38.4426,105
1990,45,1,29.2456,105
1990,45,2,33.8048,105
1990,50,1,24.9502,105
1990,50,2,29.2987,105
1990,55,1,20.907,105
1990,55,2,24.9443,105
1990,60,1,17.169,105
1990,60,2,20.7666,105
1990,65,1,13.793,105
1990,65,2,16.8137,105
1990,70,1,10.8074,105
1990,70,2,13.1682,105
1990,75,1,8.2373,105
1990,75,2,9.942,105
1990,80,1,6.1178,105
1990,80,2,7.2515,105
1991,0,1,70.6951,105
1991,0,2,76.2198,105
1991,5,1,66.7691,105
1991,5,2,72.1901,105
1991,10,1,61.8764,105
1991,10,2,67.2849,105
1991,15,1,56.9759,105
1991,15,2,62.3689,105
1991,20,1,52.2398,105
1991,20,2,57.5198,105
1991,25,1,47.5953,105
1991,25,2,52.6903,105
1991,30,1,42.9249,105
1991,30,2,47.871,105
1991,35,1,38.2647,105
1991,35,2,43.0853,105
1991,40,1,33.6664,105
1991,40,2,38.3608,105
1991,45,1,29.1856,105
1991,45,2,33.7264,105
1991,50,1,24.8933,105
1991,50,2,29.2243,105
1991,55,1,20.8537,105
1991,55,2,24.8743,105
1991,60,1,17.1206,105
1991,60,2,20.7015,105
1991,65,1,13.7505,105
1991,65,2,16.7547,105
1991,70,1,10.772,105
1991,70,2,13.1168,105
1991,75,1,8.2094,105
1991,75,2,9.9006,105
1991,80,1,6.0978,105
1991,80,2,7.2214,105
1992,0,1,70.6216,105
1992,0,2,76.1277,105
1992,5,1,66.7219,105
1992,5,2,72.1202,105
1992,10,1,61.8364,105
1992,10,2,67.2166,105
1992,15,1,56.9354,105
1992,15,2,62.3019,105
1992,20,1,52.2103,105
1992,20,2,57.4547,105
1992,25,1,47.5798,105
1992,25,2,52.6273,105
1992,30,1,42.9142,105
1992,30,2,47.8104,105
1992,35,1,38.259,105
1992,35,2,43.0272,105
1992,40,1,33.6656,105
1992,40,2,38.3055,105
1992,45,1,29.1857,105
1992,45,2,33.6741,105
1992,50,1,24.8842,105
1992,50,2,29.1753,105
1992,55,1,20.8544,105
1992,55,2,24.8288,105
1992,60,1,17.1315,105
1992,60,2,20.6598,105
1992,65,1,13.7405,105
1992,65,2,16.7175,105
1992,70,1,10.7692,105
1992,70,2,13.0854,105
1992,75,1,8.2452,105
1992,75,2,9.8769,105
1992,80,1,6.168,105
1992,80,2,7.2065,105
1993,0,1,70.5935,105
1993,0,2,76.1675,105
1993,5,1,66.7202,105
1993,5,2,72.1832,105
1993,10,1,61.8396,105
1993,10,2,67.2801,105
1993,15,1,56.9382,105
1993,15,2,62.3653,105
1993,20,1,52.2238,105
1993,20,2,57.5178,105
1993,25,1,47.6078,105
1993,25,2,52.6924,105
1993,30,1,42.9447,105
1993,30,2,47.8733,105
1993,35,1,38.2946,105
1993,35,2,43.0902,105
1993,40,1,33.7063,105
1993,40,2,38.3682,105
1993,45,1,29.2269,105
1993,45,2,33.7355,105
1993,50,1,24.914,105
1993,50,2,29.234,105
1993,55,1,20.8919,105
1993,55,2,24.8906,105
1993,60,1,17.1776,105
1993,60,2,20.7124,105
1993,65,1,13.7638,105
1993,65,2,16.7703,105
1993,70,1,10.7932,105
1993,70,2,13.1435,105
1993,75,1,8.3001,105
1993,75,2,9.9328,105
1993,80,1,6.2561,105
1993,80,2,7.2553,105
1994,0,1,70.6213,105
1994,0,2,76.3472,105
1994,5,1,66.7722,105
1994,5,2,72.3857,105
1994,10,1,61.8941,105
1994,10,2,67.4813,105
1994,15,1,56.9925,105
1994,15,2,62.5662,105
1994,20,1,52.2883,105
1994,20,2,57.7153,105
1994,25,1,47.6871,105
1994,25,2,52.8938,105
1994,30,1,43.0238,105
1994,30,2,48.0703,105
1994,35,1,38.3785,105
1994,35,2,43.2859,105
1994,40,1,33.7951,105
1994,40,2,38.56,105
1994,45,1,29.3151,105
1994,45,2,33.9255,105
1994,50,1,24.988,105
1994,50,2,29.4155,105
1994,55,1,20.9708,105
1994,55,2,25.0763,105
1994,60,1,17.263,105
1994,60,2,20.8811,105
1994,65,1,13.8236,105
1994,65,2,16.9394,105
1994,70,1,10.8469,105
1994,70,2,13.3215,105
1994,75,1,8.3768,105
1994,75,2,10.1051,105
1994,80,1,6.3645,105
1994,80,2,7.405,105
1995,0,1,70.6071,105
1995,0,2,76.5263,105
1995,5,1,66.8005,105
1995,5,2,72.6097,105
1995,10,1,61.9305,105
1995,10,2,67.718,105
1995,15,1,57.0373,105
1995,15,2,62.8102,105
1995,20,1,52.3375,105
1995,20,2,57.958,105
1995,25,1,47.7419,105
1995,25,2,53.1465,105
1995,30,1,43.0742,105
1995,30,2,48.3215,105
1995,35,1,38.4319,105
1995,35,2,43.5398,105
1995,40,1,33.8516,105
1995,40,2,38.8125,105
1995,45,1,29.3732,105
1995,45,2,34.1818,105
1995,50,1,25.0429,105
1995,50,2,29.6641,105
1995,55,1,21.0236,105
1995,55,2,25.3362,105
1995,60,1,17.316,105
1995,60,2,21.1224,105
1995,65,1,13.8771,105
1995,65,2,17.188,105
1995,70,1,10.8883,105
1995,70,2,13.5894,105
1995,75,1,8.4016,105
1995,75,2,10.3704,105
1995,80,1,6.3906,105
1995,80,2,7.6366,105
1996,0,1,70.7176,105
1996,0,2,76.949,105
1996,5,1,66.8999,105
1996,5,2,73.0197,105
1996,10,1,62.0121,105
1996,10,2,68.11,105
1996,15,1,57.1146,105
1996,15,2,63.1946,105
1996,20,1,52.4129,105
1996,20,2,58.331,105
1996,25,1,47.82,105
1996,25,2,53.5234,105
1996,30,1,43.146,105
1996,30,2,48.6897,105
1996,35,1,38.5045,105
1996,35,2,43.901,105
1996,40,1,33.9252,105
1996,40,2,39.161,105
1996,45,1,29.4459,105
1996,45,2,34.527,105
1996,50,1,25.1102,105
1996,50,2,29.992,105
1996,55,1,21.0864,105
1996,55,2,25.6672,105
1996,60,1,17.3767,105
1996,60,2,21.4311,105
1996,65,1,13.9361,105
1996,65,2,17.5005,105
1996,70,1,10.9333,105
1996,70,2,13.9176,105
1996,75,1,8.4286,105
1996,75,2,10.6953,105
1996,80,1,6.4187,105
1996,80,2,7.9264,105
1997,0,1,70.7817,105
1997,0,2,77.3041,105
1997,5,1,66.9681,105
1997,5,2,73.3812,105
1997,10,1,62.0756,105
1997,10,2,68.4688,105
1997,15,1,57.1802,105
1997,15,2,63.5533,105
1997,20,1,52.4797,105
1997,20,2,58.6832,105
1997,25,1,47.8908,105
1997,25,2,53.8834,105
1997,30,1,43.2116,105
1997,30,2,49.0455,105
1997,35,1,38.5718,105
1997,35,2,44.2547,105
1997,40,1,33.9946,105
1997,40,2,39.507,105
1997,45,1,29.5155,105
1997,45,2,34.8744,105
1997,50,1,25.1753,105
1997,50,2,30.3267,105
1997,55,1,21.148,105
1997,55,2,26.0083,105
1997,60,1,17.4371,105
1997,60,2,21.7538,105
1997,65,1,13.9955,105
1997,65,2,17.8293,105
1997,70,1,10.9792,105
1997,70,2,14.2639,105
1997,75,1,8.4569,105
1997,75,2,11.039,105
1997,80,1,6.4478,105
1997,80,2,8.2342,105
1998,0,1,70.8261,105
1998,0,2,77.5174,105
1998,5,1,67.0309,105
1998,5,2,73.6177,105
1998,10,1,62.1593,105
1998,10,2,68.7174,105
1998,15,1,57.279,105
1998,15,2,63.81,105
1998,20,1,52.625,105
1998,20,2,58.9386,105
1998,25,1,48.0818,105
1998,25,2,54.1517,105
1998,30,1,43.4045,105
