year_id,age_group_id,sex_id,ex,location_id
1990,0,1,58.7869,197
1990,0,2,63.4213,197
1990,5,1,58.6832,197
1990,5,2,62.802,197
1990,10,1,54.1352,197
1990,10,2,58.2145,197
1990,15,1,49.4642,197
1990,15,2,53.5115,197
1990,20,1,44.9816,197
1990,20,2,48.9366,197
1990,25,1,40.7136,197
1990,25,2,44.4895,197
1990,30,1,36.5409,197
1990,30,2,40.1431,197
1990,35,1,32.4795,197
1990,35,2,35.8932,197
1990,40,1,28.5747,197
1990,40,2,31.7608,197
1990,45,1,24.8313,197
1990,45,2,27.743,197
1990,50,1,21.2738,197
1990,50,2,23.8517,197
1990,55,1,17.9449,197
1990,55,2,20.1408,197
1990,60,1,14.8285,197
1990,60,2,16.6147,197
1990,65,1,12.0461,197
1990,65,2,13.3933,197
1990,70,1,9.571,197
1990,70,2,10.5242,197
1990,75,1,7.41,197
1990,75,2,8.0693,197
1990,80,1,5.5855,197
1990,80,2,6.0294,197
1991,0,1,58.0511,197
1991,0,2,62.6227,197
1991,5,1,57.8838,197
1991,5,2,61.9408,197
1991,10,1,53.3321,197
1991,10,2,57.3461,197
1991,15,1,48.6628,197
1991,15,2,52.644,197
1991,20,1,44.1906,197
1991,20,2,48.0837,197
1991,25,1,39.95,197
1991,25,2,43.6734,197
1991,30,1,35.8287,197
1991,30,2,39.3893,197
1991,35,1,31.84,197
1991,35,2,35.22,197
1991,40,1,28.0262,197
1991,40,2,31.1824,197
1991,45,1,24.3813,197
1991,45,2,27.2625,197
1991,50,1,20.9237,197
1991,50,2,23.4713,197
1991,55,1,17.6896,197
1991,55,2,19.8579,197
1991,60,1,14.659,197
1991,60,2,16.4244,197
1991,65,1,11.9608,197
1991,65,2,13.2908,197
1991,70,1,9.5557,197
1991,70,2,10.5005,197
1991,75,1,7.4322,197
1991,75,2,8.0917,197
1991,80,1,5.6146,197
1991,80,2,6.0633,197
1992,0,1,57.0403,197
1992,0,2,61.4315,197
1992,5,1,56.9057,197
1992,5,2,60.7771,197
1992,10,1,52.3655,197
1992,10,2,56.1924,197
1992,15,1,47.7062,197
1992,15,2,51.5031,197
1992,20,1,43.252,197
1992,20,2,46.9725,197
1992,25,1,39.0489,197
1992,25,2,42.6229,197
1992,30,1,34.9931,197
1992,30,2,38.4348,197
1992,35,1,31.0949,197
1992,35,2,34.3851,197
1992,40,1,27.3928,197
1992,40,2,30.4827,197
1992,45,1,23.8665,197
1992,45,2,26.6961,197
1992,50,1,20.5261,197
1992,50,2,23.0335,197
1992,55,1,17.4004,197
1992,55,2,19.5386,197
1992,60,1,14.4657,197
1992,60,2,16.2119,197
1992,65,1,11.8603,197
1992,65,2,13.1741,197
1992,70,1,9.5327,197
1992,70,2,10.468,197
1992,75,1,7.4518,197
1992,75,2,8.1085,197
