year_id,age_group_id,sex_id,ex,location_id
1990,0,1,56.6145,180
1990,0,2,60.0063,180
1990,5,1,58.3131,180
1990,5,2,61.1765,180
1990,10,1,54.0582,180
1990,10,2,56.8888,180
1990,15,1,49.5335,180
1990,15,2,52.3581,180
1990,20,1,45.1675,180
1990,20,2,47.9558,180
1990,25,1,41.031,180
1990,25,2,43.722,180
1990,30,1,36.9664,180
1990,30,2,39.6134,180
1990,35,1,32.9841,180
1990,35,2,35.592,180
1990,40,1,29.1286,180
1990,40,2,31.6612,180
1990,45,1,25.3986,180
1990,45,2,27.7979,180
1990,50,1,21.8124,180
1990,50,2,23.9977,180
1990,55,1,18.4258,180
1990,55,2,20.3463,180
1990,60,1,15.2203,180
1990,60,2,16.8558,180
1990,65,1,12.3375,180
1990,65,2,13.6846,180
1990,70,1,9.7735,180
1990,70,2,10.8704,180
1990,75,1,7.5609,180
1990,75,2,8.4517,180
1990,80,1,5.7122,180
1990,80,2,6.4035,180
1991,0,1,56.113,180
1991,0,2,59.4892,180
1991,5,1,57.9099,180
1991,5,2,60.7368,180
1991,10,1,53.6719,180
1991,10,2,56.4621,180
1991,15,1,49.1577,180
1991,15,2,51.9416,180
1991,20,1,44.8054,180
1991,20,2,47.5556,180
1991,25,1,40.6919,180
1991,25,2,43.349,180
1991,30,1,36.6589,180
1991,30,2,39.2788,180
1991,35,1,32.7146,180
1991,35,2,35.3016,180
1991,40,1,28.9023,180
1991,40,2,31.4177,180
1991,45,1,25.2158,180
1991,45,2,27.5993,180
1991,50,1,21.6713,180
1991,50,2,23.841,180
1991,55,1,18.3235,180
1991,55,2,20.2297,180
1991,60,1,15.1525,180
1991,60,2,16.7778,180
1991,65,1,12.3045,180
1991,65,2,13.6469,180
1991,70,1,9.7709,180
1991,70,2,10.8712,180
1991,75,1,7.5757,180
1991,75,2,8.4756,180
1991,80,1,5.7303,180
1991,80,2,6.4314,180
1992,0,1,55.3427,180
1992,0,2,58.7982,180
1992,5,1,57.1974,180
1992,5,2,60.0977,180
1992,10,1,52.9743,180
1992,10,2,55.8344,180
1992,15,1,48.4718,180
1992,15,2,51.3246,180
1992,20,1,44.1386,180
1992,20,2,46.9584,180
1992,25,1,40.0613,180
1992,25,2,42.7879,180
1992,30,1,36.0817,180
1992,30,2,38.7705,180
1992,35,1,32.2043,180
1992,35,2,34.8556,180
1992,40,1,28.4695,180
1992,40,2,31.0393,180
1992,45,1,24.8624,180
1992,45,2,27.2862,180
1992,50,1,21.3945,180
1992,50,2,23.59,180
1992,55,1,18.1182,180
1992,55,2,20.0384,180
1992,60,1,15.0109,180
1992,60,2,16.6438,180
1992,65,1,12.2261,180
1992,65,2,13.5716,180
1992,70,1,9.747,180
1992,70,2,10.852,180
1992,75,1,7.5839,180
1992,75,2,8.4922,180
1992,80,1,5.7469,180
1992,80,2,6.4573,180
1993,0,1,55.0663,180
1993,0,2,58.2136,180
1993,5,1,56.9987,180
1993,5,2,59.5406,180
1993,10,1,52.7876,180
1993,10,2,55.2815,180
1993,15,1,48.2921,180
1993,15,2,50.7766,180
1993,20,1,43.9675,180
1993,20,2,46.423,180
1993,25,1,39.904,180
1993,25,2,42.2801,180
1993,30,1,35.9421,180
1993,30,2,38.3075,180
1993,35,1,32.0846,180
1993,35,2,34.4476,180
1993,40,1,28.3716,180
1993,40,2,30.6924,180
1993,45,1,24.7859,180
1993,45,2,26.9989,180
1993,50,1,21.3379,180
1993,50,2,23.3599,180
1993,55,1,18.0798,180
1993,55,2,19.8636,180
1993,60,1,14.9886,180
1993,60,2,16.5226,180
1993,65,1,12.2204,180
1993,65,2,13.5055,180
1993,70,1,9.7562,180
1993,70,2,10.8386,180
1993,75,1,7.6012,180
1993,75,2,8.5117,180
1993,80,1,5.764,180
1993,80,2,6.4849,180
1994,0,1,54.7591,180
1994,0,2,57.3791,180
1994,5,1,56.7118,180
1994,5,2,58.6535,180
1994,10,1,52.5067,180
1994,10,2,54.3906,180
1994,15,1,48.0165,180
1994,15,2,49.8913,180
1994,20,1,43.7003,180
1994,20,2,45.5592,180
1994,25,1,39.6523,180
1994,25,2,41.4639,180
1994,30,1,35.7139,180
1994,30,2,37.5679,180
1994,35,1,31.8866,180
1994,35,2,33.8021,180
1994,40,1,28.2082,180
1994,40,2,30.1506,180
1994,45,1,24.6573,180
1994,45,2,26.5566,180
1994,50,1,21.2421,180
1994,50,2,23.0114,180
1994,55,1,18.0138,180
1994,55,2,19.6026,180
1994,60,1,14.9484,180
1994,60,2,16.3426,180
1994,65,1,12.2058,180
1994,65,2,13.4033,180
1994,70,1,9.7635,180
1994,70,2,10.8087,180
1994,75,1,7.6202,180
1994,75,2,8.5276,180
1994,80,1,5.7842,180
1994,80,2,6.5152,180
1995,0,1,54.7717,180
1995,0,2,56.8717,180
1995,5,1,56.7282,180
1995,5,2,58.0821,180
1995,10,1,52.5236,180
1995,10,2,53.8117,180
1995,15,1,48.0336,180
1995,15,2,49.312,180
1995,20,1,43.7177,180
1995,20,2,44.9897,180
1995,25,1,39.6699,180
1995,25,2,40.9216,180
1995,30,1,35.7315,180
1995,30,2,37.0741,180
1995,35,1,31.9039,180
1995,35,2,33.3702,180
1995,40,1,28.2251,180
1995,40,2,29.7885,180
1995,45,1,24.6738,180
1995,45,2,26.262,180
1995,50,1,21.2583,180
1995,50,2,22.7813,180
1995,55,1,18.0302,180
1995,55,2,19.4327,180
1995,60,1,14.9656,180
1995,60,2,16.2287,180
1995,65,1,12.2248,180
1995,65,2,13.3432,180
1995,70,1,9.7848,180
1995,70,2,10.7987,180
1995,75,1,7.6414,180
1995,75,2,8.5481,180
1995,80,1,5.802,180
1995,80,2,6.5429,180
1996,0,1,54.8195,180
1996,0,2,56.2634,180
1996,5,1,56.7195,180
1996,5,2,57.3419,180
1996,10,1,52.5075,180
1996,10,2,53.054,180
1996,15,1,48.014,180
1996,15,2,48.5492,180
1996,20,1,43.6963,180
1996,20,2,44.2352,180
1996,25,1,39.6478,180
1996,25,2,40.1993,180
1996,30,1,35.7101,180
1996,30,2,36.4145,180
1996,35,1,31.8845,180
1996,35,2,32.7932,180
1996,40,1,28.209,180
1996,40,2,29.3061,180
1996,45,1,24.6619,180
1996,45,2,25.8711,180
1996,50,1,21.2515,180
1996,50,2,22.4776,180
1996,55,1,18.0288,180
1996,55,2,19.2093,180
1996,60,1,14.9702,180
1996,60,2,16.0786,180
1996,65,1,12.2364,180
1996,65,2,13.2608,180
1996,70,1,9.8026,180
1996,70,2,10.7779,180
1996,75,1,7.6615,180
1996,75,2,8.5652,180
1996,80,1,5.8193,180
1996,80,2,6.5703,180
1997,0,1,54.7189,180
1997,0,2,56.1682,180
1997,5,1,56.4899,180
1997,5,2,57.1258,180
1997,10,1,52.2641,180
1997,10,2,52.8238,180
1997,15,1,47.7657,180
1997,15,2,48.3132,180
1997,20,1,43.4486,180
1997,20,2,43.9983,180
1997,25,1,39.4077,180
1997,25,2,39.9686,180
1997,30,1,35.486,180
1997,30,2,36.2002,180
1997,35,1,31.6832,180
1997,35,2,32.6034,180
1997,40,1,28.036,180
1997,40,2,29.1466,180
1997,45,1,24.5196,180
1997,45,2,25.7429,180
1997,50,1,21.1406,180
1997,50,2,22.3815,180
1997,55,1,17.948,180
1997,55,2,19.1436,180
1997,60,1,14.918,180
1997,60,2,16.0413,180
1997,65,1,12.2133,180
1997,65,2,13.2495,180
1997,70,1,9.8047,180
1997,70,2,10.7903,180
1997,75,1,7.677,180
1997,75,2,8.5903,180
1997,80,1,5.8356,180
1997,80,2,6.5947,180
1998,0,1,54.7495,180
1998,0,2,56.3147,180
1998,5,1,56.3501,180
1998,5,2,57.1291,180
1998,10,1,52.1053,180
1998,10,2,52.8099,180
1998,15,1,47.5989,180
1998,15,2,48.2905,180
1998,20,1,43.2776,180
1998,20,2,43.9683,180
1998,25,1,39.235,180
1998,25,2,39.9331,180
1998,30,1,35.3192,180
1998,30,2,36.1635,180
1998,35,1,31.5291,180
1998,35,2,32.5703,180
1998,40,1,27.9007,180
1998,40,2,29.1211,180
1998,45,1,24.4065,180
1998,45,2,25.7269,180
1998,50,1,21.0517,180
1998,50,2,22.3774,180
1998,55,1,17.8833,180
1998,55,2,19.1507,180
1998,60,1,14.8773,180
1998,60,2,16.0584,180
